,Dataset,Classifier,Oversampling method,Metric,Std CV score
133,heart,LogisticRegression,None,geometric mean score,0.007968766188557738
134,heart,LogisticRegression,None,roc auc score,0.011568949706927987
135,heart,LogisticRegression,RandomOverSampler,f1 score,0.01567357076583939
136,heart,LogisticRegression,RandomOverSampler,geometric mean score,0.007313019001314089
137,heart,LogisticRegression,RandomOverSampler,roc auc score,0.01366084745763541
138,heart,LogisticRegression,SMOTE,f1 score,0.012545873884627842
139,heart,LogisticRegression,SMOTE,geometric mean score,0.00479599241136562
140,heart,LogisticRegression,SMOTE,roc auc score,0.011701321972206292
141,heart,LogisticRegression,SMOTE2,f1 score,0.009932630797299332
142,heart,LogisticRegression,SMOTE2,geometric mean score,0.00716171232714563
143,heart,LogisticRegression,SMOTE2,roc auc score,0.009828943586370386
144,iris,LogisticRegression,KMeansSMOTE,f1 score,0.01590928683148329
145,iris,LogisticRegression,KMeansSMOTE,geometric mean score,0.014904591686555273
146,iris,LogisticRegression,KMeansSMOTE,roc auc score,0.021462595217219355
147,iris,LogisticRegression,KMeansSMOTE2,f1 score,0.013478058013491697
148,iris,LogisticRegression,KMeansSMOTE2,geometric mean score,0.012200608803948541
149,iris,LogisticRegression,KMeansSMOTE2,roc auc score,0.018248725758281566
150,iris,LogisticRegression,KMeansSMOTE3,f1 score,0.030080936023477448
151,iris,LogisticRegression,KMeansSMOTE3,geometric mean score,0.011807586998382717
152,iris,LogisticRegression,KMeansSMOTE3,roc auc score,0.026555711827886918
153,iris,LogisticRegression,KMeansSMOTE4,f1 score,0.025322793557433963
154,iris,LogisticRegression,KMeansSMOTE4,geometric mean score,0.014161329867804925
155,iris,LogisticRegression,KMeansSMOTE4,roc auc score,0.0325838636226241
156,iris,LogisticRegression,None,f1 score,0.04022603143821469
157,iris,LogisticRegression,None,geometric mean score,0.01127979708914102
158,iris,LogisticRegression,None,roc auc score,0.041478071613957355
159,iris,LogisticRegression,RandomOverSampler,f1 score,0.012729681330177616
160,iris,LogisticRegression,RandomOverSampler,geometric mean score,0.008092611448831472
161,iris,LogisticRegression,RandomOverSampler,roc auc score,0.02200529729137271
162,iris,LogisticRegression,SMOTE,f1 score,0.01080783332657699
163,iris,LogisticRegression,SMOTE,geometric mean score,0.013101786319589626
164,iris,LogisticRegression,SMOTE,roc auc score,0.017690648113890116
165,iris,LogisticRegression,SMOTE2,f1 score,0.01191337098457915
166,iris,LogisticRegression,SMOTE2,geometric mean score,0.039542697870379784
167,iris,LogisticRegression,SMOTE2,roc auc score,0.02099432999255383
168,libra,LogisticRegression,KMeansSMOTE,f1 score,0.09022235619825829
169,libra,LogisticRegression,KMeansSMOTE,geometric mean score,0.036987400152335446
170,libra,LogisticRegression,KMeansSMOTE,roc auc score,0.06600764046104647
171,libra,LogisticRegression,KMeansSMOTE2,f1 score,0.08872015368312625
172,libra,LogisticRegression,KMeansSMOTE2,geometric mean score,0.08414104558077845
173,libra,LogisticRegression,KMeansSMOTE2,roc auc score,0.06422366334526447
174,libra,LogisticRegression,KMeansSMOTE3,f1 score,0.07440071306633798
175,libra,LogisticRegression,KMeansSMOTE3,geometric mean score,0.040440606324155234
176,libra,LogisticRegression,KMeansSMOTE3,roc auc score,0.05026794034169579
177,libra,LogisticRegression,KMeansSMOTE4,f1 score,0.05034514885082861
178,libra,LogisticRegression,KMeansSMOTE4,geometric mean score,0.03002707705770138
179,libra,LogisticRegression,KMeansSMOTE4,roc auc score,0.06739026643605317
180,libra,LogisticRegression,None,f1 score,0.0372612015540504
181,libra,LogisticRegression,None,geometric mean score,0.014481418612172666
182,libra,LogisticRegression,None,roc auc score,0.051367123644005995
183,libra,LogisticRegression,RandomOverSampler,f1 score,0.04294042594335447
184,libra,LogisticRegression,RandomOverSampler,geometric mean score,0.025642122649945368
185,libra,LogisticRegression,RandomOverSampler,roc auc score,0.024440514147226075
186,libra,LogisticRegression,SMOTE,f1 score,0.050343590276813184
187,libra,LogisticRegression,SMOTE,geometric mean score,0.02603515096957093
188,libra,LogisticRegression,SMOTE,roc auc score,0.03052805578140557
189,libra,LogisticRegression,SMOTE2,f1 score,0.03272181811745799
190,libra,LogisticRegression,SMOTE2,geometric mean score,0.02520316179358072
191,libra,LogisticRegression,SMOTE2,roc auc score,0.029329274758779784
192,liver_disorders,LogisticRegression,KMeansSMOTE,f1 score,0.017612429691292734
193,liver_disorders,LogisticRegression,KMeansSMOTE,geometric mean score,0.013132825784118542
194,liver_disorders,LogisticRegression,KMeansSMOTE,roc auc score,0.017333227122202404
195,liver_disorders,LogisticRegression,KMeansSMOTE2,f1 score,0.015614323881017916
196,liver_disorders,LogisticRegression,KMeansSMOTE2,geometric mean score,0.007931643451734548
197,liver_disorders,LogisticRegression,KMeansSMOTE2,roc auc score,0.012226271171161637
198,liver_disorders,LogisticRegression,KMeansSMOTE3,f1 score,0.016795767010763133
199,liver_disorders,LogisticRegression,KMeansSMOTE3,geometric mean score,0.010226525702945828
200,liver_disorders,LogisticRegression,KMeansSMOTE3,roc auc score,0.015332027758759222
201,liver_disorders,LogisticRegression,KMeansSMOTE4,f1 score,0.018393342156804143
202,liver_disorders,LogisticRegression,KMeansSMOTE4,geometric mean score,0.008682871117596259
203,liver_disorders,LogisticRegression,KMeansSMOTE4,roc auc score,0.012730640296981482
204,liver_disorders,LogisticRegression,None,f1 score,0.021706295894063702
205,liver_disorders,LogisticRegression,None,geometric mean score,0.011768941245543327
206,liver_disorders,LogisticRegression,None,roc auc score,0.01608812418294852
207,liver_disorders,LogisticRegression,RandomOverSampler,f1 score,0.0122053588647125
208,liver_disorders,LogisticRegression,RandomOverSampler,geometric mean score,0.006581126215190209
209,liver_disorders,LogisticRegression,RandomOverSampler,roc auc score,0.01578947797077848
210,liver_disorders,LogisticRegression,SMOTE,f1 score,0.014408603229122357
211,liver_disorders,LogisticRegression,SMOTE,geometric mean score,0.013978979796867012
212,liver_disorders,LogisticRegression,SMOTE,roc auc score,0.018282355689828535
213,liver_disorders,LogisticRegression,SMOTE2,f1 score,0.018331766344505146
214,liver_disorders,LogisticRegression,SMOTE2,geometric mean score,0.01174485670496442
215,liver_disorders,LogisticRegression,SMOTE2,roc auc score,0.007352407761793679
216,pima,LogisticRegression,KMeansSMOTE,f1 score,0.010594570965832184
